"The following data set contains the data used to generate the statistics reported in Table 2 of the paper ""An Algorithm for Finding Cost-Effective Solutions to Real-World School Bus Routing Problems"", by R. Lewis.",,,,,,,,,
problem instance,bus capacity,maximum journey time (mins),seed,num routes (k),discrete level (d),run time (secs),num solutions in final front,num feasible solutions in final front ,S-metric of front that contains only the feasible solutions
Adelaide,70,45,1,9,30,127.18,4,4,258.9150342
Adelaide,70,45,2,9,30,168.005,3,3,250.8757832
Adelaide,70,45,3,9,30,80.475,2,2,239.9111706
Adelaide,70,45,4,9,30,79.361,4,4,250.0728813
Adelaide,70,45,5,9,30,119.352,3,3,237.5124069
Adelaide,70,45,6,9,30,170.61,4,4,253.0454808
Adelaide,70,45,7,9,30,102.798,5,5,250.51018
Adelaide,70,45,8,9,30,165.992,4,4,256.0481883
Adelaide,70,45,9,9,30,150.857,3,3,254.7563457
Adelaide,70,45,10,9,30,79.539,3,3,255.0167381
Adelaide,70,45,11,9,30,257.331,4,4,265.2329206
Adelaide,70,45,12,9,30,97.685,4,4,246.9253975
Adelaide,70,45,13,9,30,106.917,2,2,230.6927421
Adelaide,70,45,14,9,30,189.863,5,5,276.4880559
Adelaide,70,45,15,9,30,97.805,4,4,246.7572458
Adelaide,70,45,16,9,30,114.364,2,2,230.3944954
Adelaide,70,45,17,9,30,99.966,3,3,245.9057676
Adelaide,70,45,18,9,30,115.979,3,3,254.699341
Adelaide,70,45,19,9,30,97.443,4,4,249.8745326
Adelaide,70,45,20,9,30,80.017,4,4,259.704829
Adelaide,70,45,1,9,10,1131.135,25,25,316.9490135
Adelaide,70,45,2,9,10,1652.027,20,20,313.9660452
Adelaide,70,45,3,9,10,1553.67,24,24,318.1421815
Adelaide,70,45,4,9,10,845.952,22,22,310.5394991
Adelaide,70,45,5,9,10,1497.883,25,25,322.5326646
Adelaide,70,45,6,9,10,1017.445,20,20,316.5935254
Adelaide,70,45,7,9,10,1296.18,21,21,315.9563033
Adelaide,70,45,8,9,10,946.092,19,19,312.0635157
Adelaide,70,45,9,9,10,938.688,23,23,309.186534
Adelaide,70,45,10,9,10,877.683,16,16,308.4756489
Adelaide,70,45,11,9,10,1071.398,21,21,314.9452984
Adelaide,70,45,12,9,10,1302.475,19,19,313.1532351
Adelaide,70,45,13,9,10,1226.072,25,25,320.7969172
Adelaide,70,45,14,9,10,1517.079,30,30,324.2111761
Adelaide,70,45,15,9,10,1131.628,24,24,318.1823292
Adelaide,70,45,16,9,10,1215.243,23,23,317.8276344
Adelaide,70,45,17,9,10,1007.733,27,27,313.2079024
Adelaide,70,45,18,9,10,1251.384,25,25,321.8069402
Adelaide,70,45,19,9,10,1118.288,21,21,314.7670336
Adelaide,70,45,20,9,10,1232.24,20,20,313.4354899
Adelaide,70,45,1,9,1,7925.968,326,326,338.9005457
Adelaide,70,45,2,9,1,11064.003,351,351,342.4045483
Adelaide,70,45,3,9,1,8561.031,332,332,340.9357889
Adelaide,70,45,4,9,1,9346.782,327,327,340.3325957
Adelaide,70,45,5,9,1,8576.941,356,356,343.0558005
Adelaide,70,45,6,9,1,9584.123,357,357,342.8441853
Adelaide,70,45,7,9,1,9809.077,367,367,341.7926993
Adelaide,70,45,8,9,1,9369.313,365,365,341.2927185
Adelaide,70,45,9,9,1,10253.511,312,312,338.3576224
Adelaide,70,45,10,9,1,8716.905,320,320,338.0534875
Adelaide,70,45,11,9,1,9290.071,363,363,343.1124097
Adelaide,70,45,12,9,1,8806.238,376,376,342.5745726
Adelaide,70,45,13,9,1,9245.329,370,370,342.0724674
Adelaide,70,45,14,9,1,10062.346,387,387,344.5579881
Adelaide,70,45,15,9,1,7251.812,355,355,340.4821049
Adelaide,70,45,16,9,1,10018.518,358,358,341.7294906
Adelaide,70,45,17,9,1,7583.052,347,347,340.2312875
Adelaide,70,45,18,9,1,8373.85,343,343,340.9145056
Adelaide,70,45,19,9,1,10069.819,336,336,341.3741736
Adelaide,70,45,20,9,1,12627.106,361,361,341.9610752
Bridgend,70,45,1,6,30,315.274,9,4,86.53694875
Bridgend,70,45,2,6,30,359.852,8,5,99.01370005
Bridgend,70,45,3,6,30,349.686,8,4,98.94378443
Bridgend,70,45,4,6,30,281.626,7,2,91.94548599
Bridgend,70,45,5,6,30,369.285,10,6,109.7960241
Bridgend,70,45,6,6,30,328.328,6,3,99.75626881
Bridgend,70,45,7,6,30,335.252,8,5,106.4048793
Bridgend,70,45,8,6,30,342.308,8,5,106.5297345
Bridgend,70,45,9,6,30,320.331,10,5,113.0564838
Bridgend,70,45,10,6,30,332.858,7,4,99.95014211
Bridgend,70,45,11,6,30,354.424,8,4,100.9733722
Bridgend,70,45,12,6,30,245.153,8,4,98.5300166
Bridgend,70,45,13,6,30,381.51,9,7,114.49555
Bridgend,70,45,14,6,30,348.869,8,4,101.4533583
Bridgend,70,45,15,6,30,360.876,11,6,110.5858609
Bridgend,70,45,16,6,30,378.579,8,5,94.37786338
Bridgend,70,45,17,6,30,275.107,8,5,99.20463902
Bridgend,70,45,18,6,30,388.109,9,6,105.443044
Bridgend,70,45,19,6,30,345.76,11,7,117.0067814
Bridgend,70,45,20,6,30,245.028,9,4,105.5622416
Bridgend,70,45,1,6,10,579.226,35,26,136.2722371
Bridgend,70,45,2,6,10,581.266,36,30,131.9366005
